id,term,grade,emp_title,emp_length_years,purpose,loan_status,loan_type
1077501, 36 months,B,employer not mentioned,10,credit_card,Fully Paid,Good Loans
1077430, 60 months,C,ryder,0,car,Charged Off,Bad Loans
1077175, 36 months,C,employer not mentioned,10,small_business,Fully Paid,Good Loans
1076863, 36 months,C,air resources board,10,other,Fully Paid,Good Loans
1075358, 60 months,B,university medical group,1,other,Current,Good Loans
1075269, 36 months,A,veolia transportaton,3,wedding,Fully Paid,Good Loans
1069639, 60 months,C,southern star photography,8,debt_consolidation,Fully Paid,Good Loans
1072053, 36 months,E,mkc accounting,9,car,Fully Paid,Good Loans
1071795, 60 months,F,employer not mentioned,4,small_business,Charged Off,Bad Loans
1071570, 60 months,B,starbucks,0,other,Charged Off,Bad Loans
1070078, 60 months,C,southwest rural metro,5,debt_consolidation,Fully Paid,Good Loans
1069908, 36 months,B,ucla,10,debt_consolidation,Fully Paid,Good Loans
1064687, 36 months,C,va. dept of conservation/recreation,0,debt_consolidation,Charged Off,Bad Loans
1069866, 36 months,B,target,3,credit_card,Fully Paid,Good Loans
1069057, 36 months,B,sfmta,3,other,Charged Off,Bad Loans
1069759, 36 months,D,internal revenue service,0,debt_consolidation,Fully Paid,Good Loans
1065775, 36 months,C,chin's restaurant,4,home_improvement,Fully Paid,Good Loans
1069971, 36 months,A,duracell,10,major_purchase,Fully Paid,Good Loans
1062474, 36 months,B,connection inspection,1,medical,Fully Paid,Good Loans
1069742, 36 months,A,network interpreting service,6,debt_consolidation,Fully Paid,Good Loans
1069740, 60 months,C,archdiocese of galveston houston,3,debt_consolidation,Fully Paid,Good Loans
1039153, 36 months,B,osram sylvania,10,debt_consolidation,Charged Off,Bad Loans
1069710, 36 months,B,value air,10,credit_card,Fully Paid,Good Loans
1069700, 36 months,B,wells fargo bank,5,debt_consolidation,Fully Paid,Good Loans
1069559, 36 months,B,bmg-educational,1,major_purchase,Charged Off,Bad Loans
1069697, 36 months,B,winfield pathology consultants,2,credit_card,Fully Paid,Good Loans
1069800, 36 months,C,nyc transit,9,debt_consolidation,Charged Off,Bad Loans
1069657, 60 months,D,frito lay,2,other,Charged Off,Bad Loans
1069799, 36 months,B,shands hospital at the university of fl,10,debt_consolidation,Fully Paid,Good Loans
1047704, 36 months,B,oakridge homes,0,credit_card,Fully Paid,Good Loans
1032111, 36 months,A,employer not mentioned,7,debt_consolidation,Fully Paid,Good Loans
1069539, 36 months,A,audubon mutual housing corporation,5,debt_consolidation,Fully Paid,Good Loans
1065420, 60 months,C,us legal support,2,debt_consolidation,Current,Good Loans
1069591, 36 months,A,good samaritan society,2,debt_consolidation,Fully Paid,Good Loans
1069530, 36 months,C,greg barrett drywall,7,credit_card,Fully Paid,Good Loans
1069522, 36 months,B,sharp lawn inc.,10,credit_card,Fully Paid,Good Loans
1069361, 36 months,B,department of justice,2,moving,Fully Paid,Good Loans
1069357, 36 months,A,gateway hospice,1,debt_consolidation,Fully Paid,Good Loans
1069356, 36 months,B,cox communications,1,debt_consolidation,Fully Paid,Good Loans
1069346, 60 months,B,united states infrastructure corporation,1,debt_consolidation,Current,Good Loans
1067573, 36 months,A,nucor building systems,4,other,Fully Paid,Good Loans
1069506, 36 months,A,john wiley jr.,10,debt_consolidation,Fully Paid,Good Loans
1069314, 36 months,D,employer not mentioned,9,other,Fully Paid,Good Loans
1060578, 36 months,D,citizens bank,10,debt_consolidation,Fully Paid,Good Loans
1069469, 36 months,A,"stewart enterprises, inc.",10,debt_consolidation,Fully Paid,Good Loans
1051117, 36 months,B,golfers warehouse,6,small_business,Fully Paid,Good Loans
1069465, 36 months,A,steris corporation,10,debt_consolidation,Charged Off,Bad Loans
